年份,杭州,宁波,厦门,南昌,济南,广州,深圳,成都,昆明,兰州
1979,335285,241500,53211,158303,265619,487515,19600,413577,165971,245400
1980,406508,295300,64002,169513,288001,575497,27000,462957,191149,256800
1981,468206,319900,74074,189093,315623,634075,49600,490129,213105,240100
1982,501854,368800,86743,204423,360552,721533,82600,554095,252309,258200
1983,558947,416800,94401,212229,420075,796746,131200,627673,274636,294900
1984,694690,531700,122906,257925,479948,977350,234200,712035,333325,354000
1985,904897,710500,183604,325718,613741,1243623,390200,864945,418477,435000
1986,1053589,802200,211850,369492,712831,1395466,416500,948905,479839,507900
1987,1260162,959900,254926,435864,845431,1732050,559000,1158644,568781,561100
1988,1525427,1186200,359752,518161,1142249,2400818,869600,1464911,726902,643000
1989,1662945,1372500,479223,591567,1258319,2878733,1156600,1639063,998864,736900
1990,1896216,1414000,570860,632034,1382350,3195952,1716700,1940857,1152588,778900
1991,2279545,1698700,719963,728886,1633920,3866741,2366600,2327841,1355846,852300
1992,2900690,2130500,976748,946665,2078386,5107027,3173200,2925556,1692611,1005700
1993,4247094,3151100,1323162,1293955,2707637,7443455,4531400,3885838,2321078,1267200
1994,5855239,4596600,1870381,1818436,3718760,9853082,6346700,5073962,2848287,1724900
1995,7620055,6026500,2505505,2454072,4735176,12591974,8424800,6472632,3578651,2104300
1996,9066133,7840700,2999395,3105911,5808366,14680643,10484400,7722699,4443941,2250100
1997,10363299,8791000,3587107,3752067,7099490,16781156,12974200,8754888,5017852,2374200
1998,11348899,9527900,4031676,3992606,8021619,18935177,15347300,9618710,5629465,2525500
1999,12252795,10170800,4405368,4237630,8813156,21391758,18040200,10449059,5936439,2674600
2000,13825616,11445700,5018706,4651411,9441315,24927434,21874515,11567929,6361308,3003200
2001,15680138,12787500,5583268,5245868,10579155,28416511,24824900,13220544,6763684,3416800
2002,17818302,14533400,6483570,6019950,11901167,32039616,29695200,14887638,7339974,3814100
2003,20997744,17492700,7596934,7054437,13521540,37586166,35857200,17052732,8182598,4336500
2004,25431796,21094500,8877149,8511066,16002700,44505503,42821400,20310663,9461405,5002500
2005,29426519,24473200,10065831,10077025,18766071,51542283,49509078,23707644,10615544,5670437
2006,34415068,28744200,11680229,11838973,21850856,60818614,58135624,27504776,12072855,6384705
2007,41001722,34185700,13878520,13898920,25628097,71403223,68015706,33241677,14050473,7327581
2008,47811649,39465200,15600218,16600847,30067703,82873816,77867920,39009857,16053900,8462811
2009,50875530,43343300,17372349,18375008,33409129,91382135,82013176,45026032,18374600,9259821
2010,59491687,51810000,20600737,22071059,39105271,107482827.9,95815101,55513336,21203700,11003898
2011,70190579,60749400,25393132,26888724,44062900,124234390,115055298,68545786,25095813,13600299
2012,78020058,66012100,28170697,30005236,48036695.65,135512072,129500601,81389438,30111433,15638180
2013,83435193,71645100,30181565,33360265,52301948,154201434,145002302,91088904,34153115,17762823
2014,92061600,76102800,32735800,36679635,57705966,167068719,160018207,100565900,37129900,20009389
2015,100502100,80036100,34660288,40000100,61002320.34,181004136,175028634,108011600,39680100,20959920
2016,113137223,86864911,37842662,43549927,65361165,195474420,194926012,121702335,43000780,22642318
2017,126033629,98421000,43517000,50031896,72019600,215031516,224900586,138893940,48576426,25235441
2018,135091508,107454632,47914131,52746716,78565600,228593471,242219771,153427716,52068979,27329373
2019,153730000,119851000,59950400,55961800,94434000,236286000,269270900,170126500,64758792,28373600
